Dimension,Correlation,PValue,AbsCorrelation
89,0.11414383510736369,6.840253987177471e-140,0.11414383510736369
15,0.1136865066438101,8.809308501917227e-139,0.1136865066438101
143,0.11344504286641614,3.3814310080350944e-138,0.11344504286641614
29,-0.1133676393474255,5.20102897730426e-138,0.1133676393474255
13,0.1119304532396002,1.4597803389959322e-134,0.1119304532396002
25,-0.11101961935512387,2.120050883501785e-132,0.11101961935512387
40,0.11034038249714437,8.451091229862339e-131,0.11034038249714437
127,0.10920019368154785,3.900549331204749e-128,0.10920019368154785
106,-0.10893399512612613,1.6183371442464181e-127,0.10893399512612613
165,0.10886862136786474,2.293980602684147e-127,0.10886862136786474
117,0.10530494102739979,3.020027336814509e-119,0.10530494102739979
52,0.10445852349161128,2.3334993627221892e-117,0.10445852349161128
169,-0.10293663077045152,5.292750406691067e-114,0.10293663077045152
64,0.0991530243305256,7.067368252053022e-106,0.0991530243305256
23,-0.09843051660919916,2.3213670944270085e-104,0.09843051660919916
183,-0.09818910962094728,7.411871717035829e-104,0.09818910962094728
84,-0.09800960200784421,1.7539568066459348e-103,0.09800960200784421
77,-0.0979378654379798,2.47355983360731e-103,0.0979378654379798
184,-0.09571692915540295,9.137468377875478e-99,0.09571692915540295
173,-0.09272105166963157,8.990802822945022e-93,0.09272105166963157
123,-0.09100102211697339,2.0293583722670806e-89,0.09100102211697339
72,0.09093640989536494,2.704553199467265e-89,0.09093640989536494
44,0.08979112042404509,4.2486912955165785e-87,0.08979112042404509
51,-0.08916532165009933,6.551930066121995e-86,0.08916532165009933
188,0.08658010725872343,4.320709806620753e-81,0.08658010725872343
97,0.08534272260285006,7.790115759290408e-79,0.08534272260285006
98,-0.08387483995387007,3.3518599119456805e-76,0.08387483995387007
42,-0.0835802093395503,1.1178215290616317e-75,0.0835802093395503
31,-0.08313821449307571,6.754746439147763e-75,0.08313821449307571
171,-0.08273372391517123,3.4745361765007795e-74,0.08273372391517123
153,-0.0826335693902735,5.205666357902148e-74,0.0826335693902735
99,0.08249234165840585,9.198065220209214e-74,0.08249234165840585
21,-0.08125954704777844,1.26946469924098e-71,0.08125954704777844
187,-0.08040304706750939,3.7261124934557636e-70,0.08040304706750939
71,-0.08015479686772864,9.856269297267974e-70,0.08015479686772864
114,0.07944895514621761,1.5405847259773716e-68,0.07944895514621761
103,-0.07882704730229928,1.7016619638594177e-67,0.07882704730229928
